species_name,subplot,habitat,biomass_OLD,biomass_NEW,group_dataset_and_notes,Year,total_biomass
Deschampsia flexuosa,3.0,DSH,,0.291,4.0,21082024,0.291
Phyllodoce caerulea,3.0,DSH,,,4.0,21082024,0.0
Empetrum nigrum,3.0,DSH,10.8626,1.665,4.0,21082024,12.5276
Salix herbacea,3.0,DSH,1.3,0.66,4.0,21082024,1.96
Avenella flexuosa,3.0,DSH,,2.3905,4.0,21082024,2.3905
Salix herbacea,4.0,DSH,0.123,0.024,4.0,21082024,0.147
Vaccinium myrtillus,4.0,DSH,0.317,0.333,4.0,21082024,0.65
Empetrum nigrum,4.0,DSH,0.959,0.132,4.0,21082024,1.091
Avenella flexuosa,4.0,DSH,1.375,,4.0,21082024,1.375
Vaccinium vitis-idaea,4.0,DSH,0.22,0.2,4.0,21082024,0.42000000000000004
Betula nana,1.0,LH,14.5782,5.26,4.0,21082024,19.8382
Empetrum nigrum,2.0,LH,10.8745,1.3205,4.0,21082024,12.195
Betula nana,2.0,LH,8.91,0.6456,4.0,21082024,9.5556
Vaccinium vitis-idaea,2.0,LH,0.03,0.04,4.0,21082024,0.07
Kalmina procumbens,2.0,LH,6.54,,4.0,21082024,6.54
Kalmina procumbens,2.0,LH,,6.7989,4.0,21082024,6.7989
Vaccinium vitis-idaea,3.0,LH,0.23,0.06,4.0,21082024,0.29000000000000004
Empetrum nigrum,3.0,LH,1.26,0.26,4.0,21082024,1.52
Kalmina procumbens,3.0,LH,9.59,9.64,4.0,21082024,19.23
Betula nana,3.0,LH,21.04,3.05,4.0,21082024,24.09
Betula nana,4.0,LH,8.71,5.01,4.0,21082024,13.72
Empetrum nigrum,4.0,LH,1.22,0.58,4.0,21082024,1.7999999999999998
Kalmina procumbens,4.0,LH,0.79,0.88,4.0,21082024,1.67
Avenella flexuosa,4.0,LH,0.08,,4.0,21082024,0.08
Vaccinium vitis-idaea,4.0,LH,0.01,0.01,4.0,21082024,0.02
Empetrum nigrum,5.0,LH,6.91,1.21,4.0,21082024,8.120000000000001
Betula nana,5.0,LH,15.07,5.31,4.0,21082024,20.38
Vaccinium myrtillus,2.0,DSH,0.079,0.071,4.0,21082024,0.15
Vaccinium vitis-idaea,2.0,DSH,0.172,,4.0,21082024,0.172
Deschampsia flexuosa,2.0,DSH,1.755,,4.0,21082024,1.755
Vaccinium vitis-idaea,2.0,DSH,,0.277,4.0,21082024,0.277
Salix herbacea,2.0,DSH,,0.014,4.0,21082024,0.014
Empetrum nigrum,2.0,DSH,0.217,0.038,4.0,21082024,0.255
Vaccinium myrtillus,5.0,DSH,0.65,0.88,4.0,21082024,1.53
Betula nana,5.0,DSH,22.78,5.09,4.0,21082024,27.87
Phyllodoce caerulea,5.0,DSH,6.05,1.05,4.0,21082024,7.1
Empetrum nigrum,5.0,DSH,6.95,2.02,4.0,21082024,8.97
Vaccinium vitis-idaea,5.0,DSH,,0.04,4.0,21082024,0.04
Avenella flexuosa,5.0,DSH,,0.94,4.0,21082024,0.94
Empetrum nigrum,1.0,BF,6.397,2.052,1.0,21082024,8.449
Vaccinium uliginosum,1.0,BF,0.005,0.02,1.0,21082024,0.025
Kalmina procumbens,1.0,BF,0.149,0.117,1.0,21082024,0.266
Vaccinium myrtillus,1.0,BF,0.153,0.196,1.0,21082024,0.349
Avenella flexuosa,4.0,BF,1.161,,1.0,21082024,1.161
Vaccinium vitis-idaea,3.0,BF,1.7,1.583,1.0,21082024,3.283
Avenella flexuosa,3.0,BF,1.498,1.591,1.0,21082024,3.089
Deschampsia cespitosa,3.0,BF,4.534,0.958,1.0,21082024,5.492
Vaccinium myrtillus,3.0,BF,0.022,0.013,1.0,21082024,0.034999999999999996
Loiseleuria procumbens,3.0,BF,0.019,0.001,1.0,21082024,0.02
Empetrum nigrum,3.0,BF,0.005,0.006,1.0,21082024,0.011
Galium boreale,3.0,BF,,0.026,1.0,21082024,0.026
Vaccinium vitis-idaea,5.0,BF,0.179,,1.0,21082024,0.179
Deschampsia cespitosa,5.0,BF,,0.036,1.0,21082024,0.036
Vaccinium vitis-idaea,4.0,BF,0.085,0.38,1.0,21082024,0.465
Deschampsia cespitosa,4.0,BF,0.013,0.038,1.0,21082024,0.051
Avenella flexuosa,4.0,BF,,1.556,1.0,21082024,1.556
Trientalis europaea,4.0,BF,,0.02,1.0,21082024,0.02
Linnaea borealis,4.0,BF,0.696,1.133,1.0,21082024,1.829
Vaccinium myrtillus,2.0,BF,1.555,0.837,1.0,21082024,2.392
Vaccinium uliginosum,2.0,BF,0.089,0.148,1.0,21082024,0.237
Salix glauca,2.0,BF,,0.163,1.0,21082024,0.163
Hieracium sp,2.0,BF,,0.021,1.0,21082024,0.021
Betula nana,2.0,BF,,0.003,1.0,21082024,0.003
Juncus trifidus,2.0,BF,0.021,0.012,1.0,21082024,0.033
Empetrum nigrum,2.0,BF,5.779,,1.0,21082024,5.779
Avenella flexuosa,2.0,BF,0.012,0.039,1.0,21082024,0.051000000000000004
Deschampsia cespitosa,2.0,BF,,0.162,1.0,21082024,0.162
Trientalis europaea,2.0,TL,,0.001,1.0,21082024,0.001
Avenella flexuosa,2.0,TL,,1.689,1.0,21082024,1.689
Linnaea borealis,1.0,TL,0.111,0.235,1.0,21082024,0.346
Pyrola grandiflora,1.0,TL,0.06,0.7,1.0,21082024,0.76
Geranium sylvaticum,1.0,TL,,0.207,1.0,21082024,0.207
Betula nana,1.0,TL,,0.032,1.0,21082024,0.032
Galium boreale,1.0,TL,0.106,0.295,1.0,21082024,0.40099999999999997
Filipendula ulmaria,1.0,TL,,0.024,1.0,21082024,0.024
Hieracium sp,1.0,TL,,0.023,1.0,21082024,0.023
Vaccinium myrtillus,1.0,TL,0.33,0.123,1.0,21082024,0.453
Avenella flexuosa,1.0,TL,1.211,1.083,1.0,21082024,2.294
Vaccinium myrtillus,4.0,TL,1.906,1.162,1.0,21082024,3.0679999999999996
Linnaea borealis,4.0,TL,0.149,0.246,1.0,21082024,0.395
Avenella flexuosa,4.0,TL,0.745,0.602,1.0,21082024,1.347
Stellaria nemorum,4.0,TL,,0.022,1.0,21082024,0.022
Betula nana,4.0,TL,,0.04,1.0,21082024,0.04
Vaccinium vitis-idaea,4.0,TL,0.173,0.467,1.0,21082024,0.64
Phyllodoce caerulea,4.0,TL,0.212,0.071,1.0,21082024,0.283
Vaccinium vitis-idaea,2.0,TL,0.075,0.136,1.0,21082024,0.21100000000000002
Linnaea borealis,2.0,TL,,0.241,1.0,21082024,0.241
Empetrum nigrum,2.0,TL,0.201,0.201,1.0,21082024,0.402
Betula nana,2.0,TL,7.214,1.872,1.0,21082024,9.086
Linnaea borealis,2.0,TL,0.09,,1.0,21082024,0.09
Vaccinium myrtillus,2.0,TL,1.108,,1.0,21082024,1.108
Phyllodoce caerulea,5.0,TL,1.0,0.38,1.0,21082024,1.38
Empetrum nigrum,5.0,TL,0.91,0.44,1.0,21082024,1.35
Linnaea borealis,5.0,TL,0.08,0.09,1.0,21082024,0.16999999999999998
Avenella flexuosa,5.0,TL,0.35,0.54,1.0,21082024,0.89
Vaccinium myrtillus,5.0,TL,2.25,1.3,1.0,21082024,3.55
Betula nana,5.0,TL,7.53,0.9,1.0,21082024,8.43
Vaccinium vitis-idaea,5.0,TL,1.13,0.76,1.0,21082024,1.89
Avenella flexuosa,3.0,TL,,0.045,1.0,21082024,0.045
Phyllodoce caerulea,3.0,TL,4.197,1.638,1.0,21082024,5.835
Vaccinium myrtillus,3.0,TL,0.775,0.481,1.0,21082024,1.256
Linnaea borealis,3.0,TL,0.124,0.17,1.0,21082024,0.29400000000000004
Empetrum nigrum,3.0,TL,3.485,1.182,1.0,21082024,4.667
Vaccinium vitis-idaea,3.0,TL,1.084,0.4,1.0,21082024,1.484
Kalmina procumbens,1.0,LH,0.737,0.231,1.0,21082024,0.968
Betula nana,1.0,LH,4.02,0.069,1.0,21082024,4.0889999999999995
Avenella flexuosa,1.0,LH,,0.75,1.0,21082024,0.75
Salix herbacea,1.0,LH,,0.677,1.0,21082024,0.677
Kalmina procumbens,2.0,LH,1.71,0.376,1.0,21082024,2.086
Avenella flexuosa,2.0,LH,0.901,,1.0,21082024,0.901
Betula nana,5.0,LH,2.352,0.671,1.0,21082024,3.0229999999999997
Avenella flexuosa,5.0,LH,0.024,0.01,1.0,21082024,0.034
Kalmina procumbens,5.0,LH,3.786,2.266,1.0,21082024,6.052
Kalmina procumbens,3.0,LH,1.67,0.938,1.0,21082024,2.6079999999999997
Empetrum nigrum,3.0,LH,3.61,0.461,1.0,21082024,4.071
Vaccinium uliginosum,3.0,LH,0.761,0.326,1.0,21082024,1.087
Betula nana,3.0,LH,0.202,0.038,1.0,21082024,0.24000000000000002
Empetrum nigrum,4.0,LH,0.783,0.66,1.0,21082024,1.443
Betula nana,4.0,LH,5.97,1.76,1.0,21082024,7.7299999999999995
Vaccinium vitis-idaea,4.0,LH,,0.07,1.0,21082024,0.07
Kalmina procumbens,4.0,LH,3.734,2.25,1.0,21082024,5.984
Phyllodoce caerulea,1.0,DSH,4.685,3.947,1.0,21082024,8.632
Salix herbacea,1.0,DSH,0.672,,1.0,21082024,0.672
Avenella flexuosa,1.0,DSH,0.296,,1.0,21082024,0.296
Empetrum nigrum,1.0,DSH,7.281,4.001,1.0,21082024,11.282
Salix herbacea,2.0,DSH,,0.039,1.0,21082024,0.039
Vaccinium myrtillus,2.0,DSH,0.3,0.417,1.0,21082024,0.717
Avenella flexuosa,2.0,DSH,0.32,0.398,1.0,21082024,0.718
Vaccinium uliginosum,3.0,DSH,2.083,1.384,1.0,21082024,3.467
Solidago virgaurea,4.0,DSH,,0.085,1.0,21082024,0.085
Trientalis europaea,4.0,DSH,,0.012,1.0,21082024,0.012
Avenella flexuosa,4.0,DSH,0.036,0.077,1.0,21082024,0.11299999999999999
Vacmyr vaccinum myrtillus,4.0,DSH,4.98,,1.0,21082024,4.98
Vaccinium uliginosum,4.0,DSH,1.019,0.902,1.0,21082024,1.9209999999999998
Deschampsia cespitosa,4.0,DSH,,0.01,1.0,21082024,0.01
Vacmyr vaccinum myrtillus,4.0,DSH,,1.933,1.0,21082024,1.933
Salix herbacea,4.0,DSH,0.44,0.42,1.0,21082024,0.86
Empetrum nigrum,4.0,DSH,1.81,0.99,1.0,21082024,2.8
Phyllodoce caerulea,4.0,DSH,6.265,0.656,1.0,21082024,6.920999999999999
Vaccinium myrtillus,5.0,DSH,2.452,2.182,1.0,21082024,4.634
Kalmina procumbens,5.0,DSH,0.84,2.549,1.0,21082024,3.389
Avenella flexuosa,5.0,DSH,0.402,0.575,1.0,21082024,0.977
Empetrum nigrum,5.0,DSH,1.159,0.661,1.0,21082024,1.82
Salix herbacea,5.0,DSH,,0.084,1.0,21082024,0.084
Avenella flexuosa,3.0,DSH,0.127,0.196,1.0,21082024,0.323
Geranium sylvaticum,3.0,DSH,,0.005,1.0,21082024,0.005
Empetrum nigrum,3.0,DSH,0.371,0.272,1.0,21082024,0.643
Agrostis sp,3.0,DSH,,0.029,1.0,21082024,0.029
Bistorta vivipara,3.0,DSH,,0.075,1.0,21082024,0.075
Carex bigelowii,3.0,DSH,,0.091,1.0,21082024,0.091
Anthoxanthum odoratum,3.0,DSH,,0.101,1.0,21082024,0.101
Vaccinium myrtillus,3.0,DSH,1.313,1.294,1.0,21082024,2.607
Betula nana,2.0,LH,24.125,,6.0,21082024,24.125
Betula nana,2.0,LH,,4.797,6.0,21082024,4.797
Empetrum nigrum,2.0,LH,,0.977,6.0,21082024,0.977
Empetrum nigrum,2.0,LH,,10.272,6.0,21082024,10.272
Betula nana,1.0,LH,16.052,2.412,6.0,21082024,18.464
Empetrum nigrum,1.0,DSH,,0.4,6.0,21082024,0.4
Vaccinium vitis-idaea,1.0,DSH,0.028,,6.0,21082024,0.028
Empetrum nigrum,1.0,DSH,0.672,,6.0,21082024,0.672
Vaccinium vitis-idaea,1.0,DSH,,0.116,6.0,21082024,0.116
Salix glauca,1.0,DSH,5.841,,6.0,21082024,5.841
Solidago virgaurea,1.0,DSH,,0.052,6.0,21082024,0.052
Salix glauca,1.0,DSH,,1.065,6.0,21082024,1.065
Empetrum nigrum,5.0,TL,1.634,0.755,6.0,21082024,2.389
Phyllodoce caerulea,5.0,TL,5.693,2.522,6.0,21082024,8.215
Solidago virgaurea,5.0,TL,,0.098,6.0,21082024,0.098
Vaccinium myrtillus,5.0,TL,1.57,0.952,6.0,21082024,2.5220000000000002
Avenella flexuosa,5.0,TL,1.533,2.66,6.0,21082024,4.193
,,,,,,0,0.0
,,,,,,0,0.0
Salix sp,5.0,TL,,1.002,6.0,21082024,1.002
Vaccinium vitis-idaea,5.0,TL,0.212,0.387,6.0,21082024,0.599
Vaccinium uliginosum,5.0,TL,0.167,0.193,6.0,21082024,0.36
,,,,,,0,0.0
Betula nana,5.0,DSH,14.63,2.14,6.0,21082024,16.77
Vaccinium myrtillus,5.0,DSH,1.477,,6.0,21082024,1.477
Vaccinium vitis-idaea,5.0,DSH,0.403,0.693,6.0,21082024,1.096
Orthilia secunda,5.0,DSH,,0.01,6.0,21082024,0.01
Pyrola grandiflora,5.0,DSH,,0.38,6.0,21082024,0.38
Phyllodoce caerulea,5.0,DSH,0.209,0.097,6.0,21082024,0.306
Empetrum Nigrum,5.0,DSH,0.777,0.22,6.0,21082024,0.997
Vaccinium myrtillus,4.0,DSH,2.822,1.967,6.0,21082024,4.789
,4.0,DSH,,0.285,6.0,21082024,0.285
Betula nana,4.0,DSH,14.73,2.606,6.0,21082024,17.336
Nardus stricta,1.0,TL,,,6.0,21082024,0.0
Anthoxanthum nipponicum,1.0,TL,,0.02,6.0,21082024,0.02
Vaccinium myrtillus,1.0,TL,2.211,1.278,6.0,21082024,3.489
Empetrum nigrum,1.0,TL,0.597,0.217,6.0,0,0.814
Avenella flexuosa,5.0,DSH,,0.214,6.0,21082024,0.214
Pyrola sp,4.0,BF,,0.001,6.0,21082024,0.001
Avenella flexuosa,1.0,BF,3.03,1.14,2.0,21082024,4.17
Deschampsia cespitosa,1.0,BF,41.05,11.38,2.0,21082024,52.43
Trientalis europaea,1.0,BF,,0.04,2.0,21082024,0.04
Deschampsia cespitosa,2.0,BF,0.05,0.46,2.0,21082024,0.51
Avenella flexuosa,2.0,BF,0.33,0.64,2.0,21082024,0.97
Argostris capillaris,2.0,BF,0.15,0.45,2.0,21082024,0.6
Luzula multiflora,3.0,BF,0.01,0.03,2.0,21082024,0.04
Salix glauca,3.0,BF,6.98,3.12,2.0,21082024,10.100000000000001
Agrostis capillaris,3.0,BF,0.94,0.58,2.0,21082024,1.52
Avenella flexuosa,3.0,BF,0.01,0.02,2.0,21082024,0.03
Empetrum nigrum,3.0,BF,0.51,0.14,2.0,21082024,0.65
Linnaea borealis,3.0,BF,0.19,0.34,2.0,21082024,0.53
Deschampsia cespitosa,3.0,BF,,0.33,2.0,21082024,0.33
Carex nigra,3.0,BF,0.15,0.08,2.0,21082024,0.22999999999999998
Avenella flexuosa,4.0,BF,,0.154,2.0,21082024,0.154
Salix herbacea,4.0,BF,,,2.0,21082024,0.0
Salix glauca,4.0,BF,0.949,0.192,2.0,21082024,1.141
Empetrum nigrum,4.0,BF,2.692,0.62,2.0,21082024,3.3120000000000003
Kalmina procumbens,4.0,BF,0.905,0.171,2.0,21082024,1.076
Phyllodoce caerulea,4.0,BF,7.048,2.47,2.0,21082024,9.518
Vaccinium uliginosum,4.0,BF,0.997,0.827,2.0,21082024,1.8239999999999998
Trientalis europaea,5.0,BF,,0.06,2.0,21082024,0.06
Agrostis capillaris,5.0,BF,,0.084,2.0,21082024,0.084
Pyrola minor,5.0,BF,0.071,,2.0,21082024,0.071
Deschampsia cespitosa,5.0,BF,,0.18,2.0,21082024,0.18
moss,5.0,BF,16.177,,2.0,21082024,16.177
Solidago virgaurea,5.0,BF,,0.186,2.0,21082024,0.186
Avenella flexuosa,5.0,BF,3.485,2.891,2.0,21082024,6.3759999999999994
Vaccinium vitis-idaea,1.0,LH,0.036,0.157,2.0,21082024,0.193
Betula nana,1.0,LH,4.082,1.317,2.0,21082024,5.399
Empetrum nigrum,1.0,LH,5.186,0.312,2.0,21082024,5.498
Empetrum nigrum,2.0,LH,0.95,0.084,2.0,21082024,1.034
Vaccinium vitis-idaea,2.0,LH,1.546,0.227,2.0,21082024,1.7730000000000001
Arctous alpina,2.0,LH,0.248,0.079,2.0,21082024,0.327
Kalmina procumbens,2.0,LH,5.33,2.001,2.0,21082024,7.3309999999999995
Betula nana,3.0,LH,2.38,0.41,2.0,21082024,2.79
Vaccinium uliginosum,3.0,LH,0.45,0.15,2.0,21082024,0.6
Vaccinium vitis-idaea,3.0,LH,0.24,0.24,2.0,21082024,0.48
Arctous alpina,3.0,LH,2.32,1.06,2.0,21082024,3.38
Vaccinium uliginosum,4.0,LH,1.184,0.515,2.0,21082024,1.6989999999999998
Empetrum nigrum,4.0,LH,0.709,0.057,2.0,21082024,0.766
Betula nana,4.0,LH,18.352,3.622,2.0,21082024,21.974
Kalmina procumbens,5.0,LH,5.458,4.629,2.0,21082024,10.087
Empetrum nigrum,5.0,LH,7.37,4.142,2.0,21082024,11.512
Betula nana,5.0,LH,,6.574,2.0,21082024,6.574
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
Empetrum nigrum,1.0,TL,0.431,0.271,2.0,21082024,0.702
Avenella flexuosa,1.0,TL,7.803,6.702,2.0,21082024,14.504999999999999
Vaccinium vitis-idaea,1.0,TL,0.232,,2.0,21082024,0.232
Vaccinium myrtillus,1.0,TL,0.306,0.066,2.0,21082024,0.372
Betula nana,2.0,TL,16.14,4.46,2.0,21082024,20.6
Empetrum nigrum,2.0,TL,1.04,1.14,2.0,21082024,2.1799999999999997
Vaccinium myrtillus,2.0,TL,0.76,0.24,2.0,21082024,1.0
Vaccinium vitis-idaea,2.0,TL,1.21,0.16,2.0,21082024,1.3699999999999999
Avenella flexuosa,2.0,TL,2.4,0.96,2.0,21082024,3.36
Avenella flexuosa,3.0,TL,2.13,2.67,2.0,21082024,4.8
Vaccinium myrtillus,3.0,TL,5.13,1.65,2.0,21082024,6.779999999999999
Empetrum nigrum,3.0,TL,0.45,0.04,2.0,21082024,0.49
Vaccinium vitis-idaea,3.0,TL,1.43,0.12,2.0,21082024,1.5499999999999998
Geranium sylvaticum,3.0,TL,0.01,1.05,2.0,21082024,1.06
Empetrum nigrum,4.0,TL,2.144,0.089,2.0,21082024,2.233
Solidago virgaurea,4.0,TL,0.334,,2.0,21082024,0.334
Avenella flexuosa,4.0,TL,4.981,1.869,2.0,21082024,6.85
Vaccinium myrtillus,4.0,TL,7.087,1.632,2.0,21082024,8.719
Empetrum nigrum,5.0,TL,0.25,0.01,2.0,21082024,0.26
Vaccinium vitis-idaea,5.0,TL,1.16,0.1,2.0,21082024,1.26
Vaccinium myrtillus,5.0,TL,5.07,1.14,2.0,21082024,6.21
Avenella flexuosa,5.0,TL,2.34,2.0,2.0,21082024,4.34
Betula nana,5.0,TL,15.05,,2.0,21082024,15.05
Vaccinium myrtillus,1.0,DSH,14.53,3.01,2.0,21082024,17.54
Empetrum nigrum,1.0,DSH,17.71,4.21,2.0,21082024,21.92
Betula nana,1.0,DSH,42.35,5.28,2.0,21082024,47.63
Betula nana,2.0,DSH,21.507,3.111,2.0,21082024,24.618000000000002
Betula nana,3.0,DSH,23.427,7.229,2.0,21082024,30.656
Phyllodoce caerulea,4.0,DSH,,,2.0,21082024,0.0
Avenella flexuosa,4.0,DSH,4.3,3.13,2.0,21082024,7.43
Vaccinium uliginosum,4.0,DSH,0.08,0.13,2.0,21082024,0.21000000000000002
Vaccinium vitis-idaea,4.0,DSH,0.33,0.33,2.0,21082024,0.66
Empetrum nigrum,4.0,DSH,1.39,0.4,2.0,21082024,1.79
Betula nana,5.0,DSH,13.158,5.032,2.0,21082024,18.189999999999998
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
,,,,,,0,0.0
Empetrum nigrum,1.0,DSH,33.004,10.75,7.0,21082024,43.754
Betula nana,1.0,DSH,126.737,14.321,7.0,21082024,141.058
Empetrum nigrum,2.0,DSH,11.605,2.822,7.0,21082024,14.427
Festuca ovina,2.0,DSH,,0.075,7.0,21082024,0.075
Vaccinium vitis-idaea,2.0,DSH,0.621,0.771,7.0,21082024,1.392
Betula nana,2.0,DSH,21.734,,7.0,21082024,21.734
Deschampsia flexuosa,2.0,DSH,,0.014,7.0,21082024,0.014
Empetrum nigrum,3.0,DSH,30.29,4.4,7.0,21082024,34.69
Vaccinium vitis-idaea,3.0,DSH,0.21,0.21,7.0,21082024,0.42
Betula nana,3.0,DSH,17.12,3.36,7.0,21082024,20.48
Vaccinium vitis-idaea,4.0,DSH,1.894,0.288,7.0,21082024,2.182
Betula nana,4.0,DSH,1.059,0.048,7.0,21082024,1.107
Empetrum nigrum,4.0,DSH,7.523,2.18,7.0,21082024,9.703
Vaccinium vitis-idaea,5.0,DSH,0.12,,7.0,21082024,0.12
Betula nana,5.0,DSH,33.56,2.99,7.0,21082024,36.550000000000004
Empetrum nigrum,5.0,DSH,3.74,1.03,7.0,21082024,4.7700000000000005
Vaccinium myrtillus,5.0,DSH,0.018,0.013,7.0,21082024,0.031
Deschampsia flexuosa,5.0,DSH,,1.13,7.0,21082024,1.13
Salix glauca,5.0,DSH,0.04,0.16,7.0,21082024,0.2
Galium boreale,5.0,DSH,,0.15,7.0,21082024,0.15
Vaccinium vitis-idaea,1.0,LH,0.594,0.503,7.0,21082024,1.097
Betula nana,1.0,LH,1.746,1.037,7.0,21082024,2.783
Deschampsia flexuosa,1.0,LH,,0.4417,7.0,21082024,0.4417
Empetrum nigrum,1.0,LH,6.943,0.207,7.0,21082024,7.1499999999999995
Vaccinium uliginosum,1.0,LH,0.277,,7.0,21082024,0.277
Betula nana,2.0,LH,0.93,0.21,7.0,21082024,1.1400000000000001
Vaccinium vitis-idaea,2.0,LH,0.22,0.2,7.0,21082024,0.42000000000000004
Vaccinium vitis-idaea,3.0,LH,0.05,0.09,7.0,21082024,0.14
Empetrum nigrum,3.0,LH,0.91,0.1,7.0,21082024,1.01
Kalmina procumbens,3.0,LH,7.61,3.31,7.0,21082024,10.92
Vaccinium uliginosum,3.0,LH,,0.6,7.0,21082024,0.6
Betula nana,4.0,LH,7.08,1.44,7.0,21082024,8.52
Festuca ovina,4.0,LH,,0.01,7.0,21082024,0.01
Vaccinium vitis-idaea,4.0,LH,0.16,0.28,7.0,21082024,0.44000000000000006
Vaccinium myrtillus,5.0,TL,0.085,0.039,7.0,21082024,0.124
Betula nana,5.0,TL,8.935,2.363,7.0,21082024,11.298
Deschampsia cespitosa,5.0,TL,,3.159,7.0,21082024,3.159
Empetrum nigrum,5.0,TL,4.225,0.097,7.0,21082024,4.322
Empetrum nigrum,1.0,TL,8.074,2.3,7.0,21082024,10.373999999999999
Betula nana,1.0,TL,36.04,3.986,7.0,21082024,40.025999999999996
Vaccinium myrtillus,1.0,TL,1.082,,7.0,21082024,1.082
Vaccinium vitis-idaea,1.0,TL,,0.003,7.0,21082024,0.003
Agrostis capillaris,2.0,TL,,0.037,7.0,21082024,0.037
Deschampsia cespitosa,2.0,TL,,0.5,7.0,21082024,0.5
Betula pubescens,2.0,TL,0.331,0.149,7.0,21082024,0.48
Hieracium sp,2.0,TL,,0.074,7.0,21082024,0.074
Vaccinium myrtillus,2.0,TL,3.402,,7.0,21082024,3.402
Empetrum nigrum,3.0,TL,8.31,1.29,7.0,21082024,9.600000000000001
Vaccinium vitis-idaea,3.0,TL,2.2,0.78,7.0,21082024,2.9800000000000004
Vaccinium myrtillus,3.0,TL,2.71,1.39,7.0,21082024,4.1
Festuca ovina,4.0,TL,,0.03,7.0,21082024,0.03
Vaccinium myrtillus,4.0,TL,1.02,0.25,7.0,21082024,1.27
Vaccinium vitis-idaea,4.0,TL,0.16,0.31,7.0,21082024,0.47
Betula nana,4.0,TL,27.19,7.91,7.0,21082024,35.1
Deschampsia flexuosa,4.0,TL,,0.03,7.0,21082024,0.03
Vaccinium uliginosum,5.0,TL,1.1,0.34,7.0,21082024,1.4400000000000002
Vaccinium myrtillus,5.0,TL,1.48,1.18,7.0,21082024,2.66
Betula nana,5.0,TL,0.45,0.05,7.0,21082024,0.5
Empetrum nigrum,5.0,TL,,1.05,7.0,21082024,1.05
Geum rivale,1.0,BF,,0.96,7.0,21082024,0.96
Deschampsia cespitosa,1.0,BF,,0.16,7.0,21082024,0.16
Anthoxanthum odoratum,1.0,BF,,0.07,7.0,21082024,0.07
Deschampsia flexuosa,1.0,BF,,1.0,7.0,21082024,1.0
Galium boreale,1.0,BF,,0.34,7.0,21082024,0.34
Ranunculus acris,1.0,BF,,0.05,7.0,21082024,0.05
Pyrola minor,1.0,BF,,0.02,7.0,21082024,0.02
Geranium sylvaticum,1.0,BF,,0.38,7.0,21082024,0.38
Ranunculus acris,2.0,BF,,0.17,7.0,21082024,0.17
Agrostis capillaris,2.0,BF,,0.51,7.0,21082024,0.51
Geranium sylvaticum,2.0,BF,,2.12,7.0,21082024,2.12
Deschampsia cespitosa,2.0,BF,5.92,2.55,7.0,21082024,8.469999999999999
Deschampsia flexuosa,2.0,BF,,,7.0,21082024,0.0
Geranium sylvaticum,3.0,BF,,0.26,7.0,21082024,0.26
Galium boreale,3.0,BF,,0.12,7.0,21082024,0.12
Vaccinium vitis-idaea,3.0,BF,0.03,0.22,7.0,21082024,0.25
Geum rivale,3.0,BF,,0.45,7.0,21082024,0.45
Deschampsia cespitosa,3.0,BF,,1.08,7.0,21082024,1.08
Deschampsia flexuosa,3.0,BF,,0.86,7.0,21082024,0.86
lukseg?,3.0,BF,,0.2,7.0,21082024,0.2
Anthoxanthum odoratum,3.0,BF,,0.45,7.0,21082024,0.45
Deschampsia cespitosa,4.0,BF,2.45,4.22,7.0,21082024,6.67
Agrostis capillaris,4.0,BF,,0.27,7.0,21082024,0.27
Pyrola minor,4.0,BF,,0.11,7.0,21082024,0.11
Geranium sylvaticum,4.0,BF,,0.71,7.0,21082024,0.71
Ranunculus acris,4.0,BF,,0.02,7.0,21082024,0.02
Solidago virgaurea,4.0,BF,,0.16,7.0,21082024,0.16
Deschampsia flexuosa,4.0,BF,,1.27,7.0,21082024,1.27
Galium boreale,4.0,BF,,0.15,7.0,21082024,0.15
Saussurea alpina,4.0,BF,,0.11,7.0,21082024,0.11
Filipendula ulmaria,4.0,BF,,0.4,7.0,21082024,0.4
Filipendula ulmaria,5.0,BF,,0.32,7.0,21082024,0.32
Pyrola grandiflora,5.0,BF,,0.19,7.0,21082024,0.19
Avenella flexuosa,5.0,BF,,0.19,7.0,21082024,0.19
Geranium sylvaticum,5.0,BF,,0.58,7.0,21082024,0.58
Vaccinium vitis-idaea,5.0,BF,,0.02,7.0,21082024,0.02
Deschampsia cespitosa,5.0,BF,,0.01,7.0,21082024,0.01
Ranunculus acris,5.0,BF,,0.03,7.0,21082024,0.03
Juniperus communis,5.0,BF,0.12,,7.0,21082024,0.12
Hieracium sp,5.0,BF,,0.01,7.0,21082024,0.01
Galium boreale,5.0,BF,,0.01,7.0,21082024,0.01
Geum rivale,5.0,BF,,0.009,7.0,21082024,0.009
